Date,Price,Open,High,Low,Vol.,Change %
13-Sep-16,400,408,410.88,399.25,-,-2.14%
12-Sep-16,408.75,402.5,410,400,-,1.43%
9-Sep-16,403,405.5,406,397.12,-,-0.74%
8-Sep-16,406,403,406.75,398.5,-,0.87%
7-Sep-16,402.5,398.12,405,397.5,-,1.13%
6-Sep-16,398,398.25,402.75,395,-,-0.25%
2-Sep-16,399,394.5,401.5,394.5,-,1.11%
1-Sep-16,394.62,391.5,397.25,389.75,-,1.84%
31-Aug-16,387.5,392.88,395.75,387,-,-1.27%
30-Aug-16,392.5,397,400.75,391.75,-,-1.20%
29-Aug-16,397.25,407.25,407.75,395.5,-,3.42%
26-Aug-16,384.12,401,402.38,381.25,-,-4.30%
25-Aug-16,401.38,404.75,408,401.38,-,-0.77%
24-Aug-16,404.5,407.88,409.25,403,-,-0.74%
23-Aug-16,407.5,414.75,415,407,-,-1.87%
22-Aug-16,415.25,427.25,429.12,414.75,-,-2.87%
19-Aug-16,427.5,426.62,432.5,422.5,-,0.06%
18-Aug-16,427.25,424.5,428,420,-,0.23%
17-Aug-16,426.25,423.38,428.38,419.75,-,0.65%
16-Aug-16,423.5,420.88,427.88,414.88,-,0.21%
15-Aug-16,422.62,422,430,417.25,-,0.00%
12-Aug-16,422.62,416.12,422.62,406.62,-,1.59%
11-Aug-16,416,420.5,423.88,413.75,-,-1.22%
10-Aug-16,421.12,415.88,427.5,415.5,-,1.11%
9-Aug-16,416.5,415.75,419.25,411.75,-,-0.12%
8-Aug-16,417,419.5,423.5,411.75,-,0.39%
5-Aug-16,415.38,404,418.5,404,-,2.75%
4-Aug-16,404.25,411.12,416.12,403.75,-,-1.40%
3-Aug-16,410,402.75,415,401.25,-,2.31%
2-Aug-16,400.75,405.75,410.5,399.38,-,-1.48%
1-Aug-16,406.75,407.75,415.5,406.75,-,-0.12%
29-Jul-16,407.25,411.12,412.75,403.75,-,-0.46%
28-Jul-16,409.12,415.38,420,408.5,-,-1.42%
27-Jul-16,415,415.62,421,414.25,-,0.03%
26-Jul-16,414.88,425.38,429.25,414.25,-,-3.40%
25-Jul-16,429.5,428.25,435.25,421.25,-,0.79%
22-Jul-16,426.12,418.38,426.88,407.25,-,1.88%
21-Jul-16,418.25,413.5,419.75,409,-,1.33%
20-Jul-16,412.75,418.25,423.75,406.75,-,-1.37%
19-Jul-16,418.5,427.5,428.25,416.5,-,-2.73%
18-Jul-16,430.25,427.75,431.75,420.62,-,1.12%
15-Jul-16,425.5,434.75,439.75,425.5,-,-1.90%
14-Jul-16,433.75,442.38,448,431.38,-,-1.64%
13-Jul-16,441,439.38,451.5,437,-,0.80%
12-Jul-16,437.5,431,439.25,424,-,1.57%
11-Jul-16,430.75,437,441.88,426.75,-,-1.09%
8-Jul-16,435.5,427.25,439.5,424,-,2.32%
7-Jul-16,425.62,430.38,438.75,424.5,-,-0.90%
6-Jul-16,429.5,432,434,421.25,-,-0.46%
5-Jul-16,431.5,431.25,432.5,416,-,0.20%
1-Jul-16,430.62,445.38,445.5,428.25,-,-3.88%
30-Jun-16,448,445.75,453.5,438,-,0.84%
29-Jun-16,444.25,457.88,460.5,444,-,-3.06%
28-Jun-16,458.25,458.38,467.25,456.5,-,-0.22%
27-Jun-16,459.25,464,470.25,458.5,-,1.32%
24-Jun-16,453.25,454.5,455,442.25,-,-0.17%
23-Jun-16,454,459.5,461.5,453.5,-,-1.04%
22-Jun-16,458.75,460.5,465,458.5,-,0.14%
21-Jun-16,458.12,473.25,476.5,458,-,-3.30%
20-Jun-16,473.75,477,479.75,473.75,-,-1.61%
17-Jun-16,481.5,473.25,482,472.75,-,1.90%
16-Jun-16,472.5,477.38,479.5,471.25,-,-1.25%
15-Jun-16,478.5,482.88,489.75,478.5,-,-1.29%
14-Jun-16,484.75,491.25,493.38,481.5,-,-1.47%
13-Jun-16,492,498.25,503.25,491.5,-,-0.61%
10-Jun-16,495,509,512.5,494.62,-,-2.89%
9-Jun-16,509.75,517.88,519,506.25,-,-1.97%
8-Jun-16,520,508.75,523.88,506.25,-,2.06%
7-Jun-16,509.5,506.5,513.5,501,-,0.34%
6-Jun-16,507.75,497.75,514.75,497.75,-,2.01%
3-Jun-16,497.75,484,498,482.5,-,2.52%
2-Jun-16,485.5,474,487,473,-,2.53%
1-Jun-16,473.5,463.38,474.75,463.38,-,2.10%
31-May-16,463.75,480.62,483.88,463.75,-,-3.69%
27-May-16,481.5,481.38,484.75,479,-,0.16%
26-May-16,480.75,465.75,481.5,465.5,-,3.11%
25-May-16,466.25,464,468.88,463.25,-,0.38%
24-May-16,464.5,462.75,470,458.25,-,0.43%
23-May-16,462.5,467.38,469.12,461.25,-,-1.23%
20-May-16,468.25,468.75,474.5,464.25,-,-0.21%
19-May-16,469.25,478.5,479.75,462.75,-,-2.44%
18-May-16,481,481.38,484.5,477.25,-,-0.10%
17-May-16,481.5,473.5,484.5,473.25,-,1.21%
16-May-16,475.75,473.75,476.75,467.75,-,0.21%
13-May-16,474.75,468.25,477.5,465,-,1.44%
12-May-16,468,457.62,468,457.62,-,1.96%
11-May-16,459,461.5,464.75,457,-,-0.70%
10-May-16,462.25,457.38,468.5,455.5,-,1.32%
9-May-16,456.25,464,467,455,-,-1.78%
6-May-16,464.5,462.62,470.25,462.25,-,0.16%
5-May-16,463.75,468.75,472.5,461.88,-,-1.96%
4-May-16,473,470.75,476.5,469.12,-,0.21%
3-May-16,472,487.38,492.75,468.5,-,-3.10%
2-May-16,487.12,486.75,490,481.5,-,-0.44%
29-Apr-16,489.25,483.75,490.75,480.75,-,0.72%
28-Apr-16,485.75,483.75,497,481.5,-,0.62%
27-Apr-16,482.75,486.5,489.5,480.5,-,-1.13%
26-Apr-16,488.25,478.12,488.5,474.25,-,2.41%
25-Apr-16,476.75,473.75,485.38,469,-,2.03%
22-Apr-16,467.25,492.88,493.12,465.62,-,-5.77%
21-Apr-16,495.88,503.5,510.75,491,-,-1.42%
20-Apr-16,503,485.25,503.75,485.25,-,3.60%
19-Apr-16,485.5,473,487.75,471.25,-,2.75%
18-Apr-16,472.5,461,477,460.75,-,2.66%
15-Apr-16,460.25,459.25,462.25,455,-,0.38%
14-Apr-16,458.5,462.5,465.5,454.5,-,-1.24%
13-Apr-16,464.25,451.75,466.62,450.25,-,2.37%
12-Apr-16,453.5,447.62,457,446.75,-,1.45%
11-Apr-16,447,457.88,457.88,446.25,-,-3.14%
8-Apr-16,461.5,457.5,462.5,456.5,-,0.93%
7-Apr-16,457.25,463,465.25,457.12,-,-1.30%
6-Apr-16,463.25,473,473,461.75,-,-2.16%
5-Apr-16,473.5,475,476.5,470.25,-,-0.21%
4-Apr-16,474.5,476.38,479,470.5,-,-0.21%
1-Apr-16,475.5,473.75,475.5,467,-,0.21%
31-Mar-16,474.5,464,475,455.88,-,2.21%
30-Mar-16,464.25,476,477.5,463.25,-,-2.67%
29-Mar-16,477,471.5,477.25,471,-,1.06%
28-Mar-16,472,465.25,477.25,464,-,1.83%
24-Mar-16,463.5,463.13,464.38,458.62,-,0.03%
23-Mar-16,463.38,467.38,467.38,462.62,-,-0.86%
22-Mar-16,467.38,466.25,470.62,463.38,-,0.21%
21-Mar-16,466.38,468.62,472,463.88,-,0.65%
18-Mar-16,463.38,463,463.88,457.88,-,0.22%
17-Mar-16,462.38,472.13,475.88,460.12,-,-1.75%
16-Mar-16,470.62,476.88,477.12,469.88,-,-1.36%
15-Mar-16,477.12,477.75,479.12,473.12,-,-0.31%
14-Mar-16,478.62,475.63,479.38,472.88,-,0.58%
11-Mar-16,475.88,476.88,478.38,471.62,-,-0.10%
10-Mar-16,476.38,467.88,477.38,465.13,-,1.76%
9-Mar-16,468.12,464.62,468.38,461.12,-,0.64%
8-Mar-16,465.13,461.38,465.62,457.12,-,0.43%
7-Mar-16,463.13,465,468.38,461.88,-,0.38%
4-Mar-16,461.38,459.63,464.38,456.12,-,0.49%
3-Mar-16,459.12,449.62,461.88,449.38,-,2.00%
2-Mar-16,450.12,447,451.38,442.38,-,0.90%
1-Mar-16,446.12,453.38,454.63,445.62,-,-1.49%
29-Feb-16,452.88,455.12,456.38,450.63,-,0.17%
26-Feb-16,452.12,453.88,456.12,449.13,-,-0.22%
25-Feb-16,453.12,452.25,455.88,449.62,-,0.39%
24-Feb-16,451.38,455.62,456.12,446.62,-,-0.99%
23-Feb-16,455.88,463.5,465.88,455.38,-,-1.72%
22-Feb-16,463.88,466.38,469.38,458.25,-,0.43%
19-Feb-16,461.88,461.88,464.5,460.12,-,-0.11%
18-Feb-16,462.38,468.5,468.5,462.12,-,-1.39%
17-Feb-16,468.88,464.5,470,462.75,-,0.97%
16-Feb-16,464.38,460.75,465,459.88,-,1.53%
12-Feb-16,457.38,458.88,462,455.12,-,-0.22%
11-Feb-16,458.38,460.38,465.75,457.88,-,-0.60%
10-Feb-16,461.12,458.12,462.75,456.62,-,0.82%
9-Feb-16,457.38,459.12,460.25,455.12,-,-0.22%
8-Feb-16,458.38,466.25,468.88,457.75,-,-1.77%
5-Feb-16,466.62,473.5,474.12,465.75,-,-1.27%
4-Feb-16,472.62,479.12,482.5,472.62,-,-1.51%
3-Feb-16,479.88,475.62,480.12,474.62,-,0.95%
2-Feb-16,475.38,475.75,483,473.25,-,-0.05%
1-Feb-16,475.62,476.25,477.25,471.38,-,-0.78%
29-Jan-16,479.38,472.25,479.38,470.88,-,1.54%
28-Jan-16,472.12,476.75,476.88,470.62,-,-0.89%
27-Jan-16,476.38,484.25,485.75,473.62,-,-1.80%
26-Jan-16,485.12,481.62,488.5,478.12,-,0.83%
25-Jan-16,481.12,475.75,483.75,475.75,-,1.21%
22-Jan-16,475.38,474.75,479.75,472.62,-,0.00%
21-Jan-16,475.38,472.38,480,470.5,-,0.80%
20-Jan-16,471.62,473,475.38,467.38,-,-0.58%
19-Jan-16,474.38,475.25,478.88,470.62,-,0.21%
17-Jan-16,473.38,473.38,473.38,473.38,-,0.00%
15-Jan-16,473.38,469,474.62,465.12,-,0.96%
14-Jan-16,468.88,477.75,477.88,468.12,-,-1.88%
13-Jan-16,477.88,480.25,483.75,476.62,-,-0.73%
12-Jan-16,481.38,470,483.12,463.88,-,2.61%
11-Jan-16,469.12,481,481.12,466.62,-,-1.93%
8-Jan-16,478.38,468.12,479.62,467.62,-,2.14%
7-Jan-16,468.38,463.5,468.88,456.38,-,1.24%
6-Jan-16,462.62,461.5,465.62,457,-,0.27%
5-Jan-16,461.38,460.38,464.62,458.62,-,0.65%
4-Jan-16,458.38,472.5,472.5,456.12,-,-2.34%
31-Dec-15,469.38,469.88,472.25,468.88,-,-0.05%
30-Dec-15,469.62,476.38,479.12,469.38,-,-1.31%
29-Dec-15,475.88,467.38,476.62,467.38,-,1.98%
28-Dec-15,466.62,467.5,472.38,465.88,-,-0.29%
27-Dec-15,468,468,468,468,-,0.00%
