Name,Team,Pos,Points,Price,Play Prob
Martin Olsson,SWA,DEF,0.89,5,1
Federico Fernandez,SWA,DEF,0.89,4.5,1
Petr Cech,ARS,GK,2.94,5.5,1
Asmir Begovic,BOR,GK,3.18,4.5,1
Nick Pope,BUR,GK,2.52,4.5,1
Thibaut Courtois,CHE,GK,3.41,5.5,1
Wayne Hennessey,CPL,GK,2.62,4.5,1
Jordan Pickford,EVE,GK,2.60,4.5,1
Jonas Lossl,HUD,GK,2.88,4.5,1
Kasper Schmeichel,LEI,GK,3.52,5,1
Simon Mignolet,LIV,GK,4.67,5,1
Ederson,MCI,GK,3.00,5.5,1
David de Gea,MUN,GK,4.55,5.5,1
Robert Elliot,NEW,GK,3.37,4,1
Fraser Forster,SOT,GK,4.02,5,1
Jack Butland,STO,GK,3.08,5,1
Lukasz Fabianski,SWA,GK,2.72,4.5,1
Hugo Lloris,TOT,GK,4.21,5.5,1
Heurelho Gomes,WAT,GK,2.28,4.5,1
Ben Foster,WBA,GK,2.88,4.5,1
Joe Hart,WHU,GK,4.08,4.5,1
