Kansas City Chiefs,DEF,KC,@NE,6,4300,1.7,10.2,4.25
Cairo Santos,K,KC,@NE,6.8,4600,1.8,11.9,5.05
Chris Conley,WR,KC,@NE,5.2,5100,0,14.9,7.45
Charcandrick West,RB,KC,@NE,4.6,5000,0,14.4,7.2
Demetrius Harris,TE,KC,@NE,1.2,4500,0,10.7,5.35
C.J. Spiller,RB,KC,@NE,2.2,4500,0,12.4,6.2
DeAnthony Thomas,WR,KC,@NE,0.9,4500,0,11,5.5
Todd Gurley,RB,LAR,IND,14.2,7300,5.1,22.3,8.6
Sammy Watkins,WR,LAR,IND,10.3,6900,1.9,19.3,8.7
Los Angeles Rams,DEF,LAR,IND,8.8,4600,2.5,15,6.25
Tyler Higbee,TE,LAR,IND,5.4,4500,0.3,13.5,6.6
Cooper Kupp,WR,LAR,IND,7,4900,0.5,16.6,8.05
Jared Goff,QB,LAR,IND,14.9,6600,5.8,27.1,10.65
Greg Zuerlein,K,LAR,IND,7.1,4500,2,12.2,5.1
Tavon Austin,WR,LAR,IND,5.4,4900,1.2,15.6,7.2
Gerald Everett,TE,LAR,IND,2.1,4500,0,11.3,5.65
Lance Dunbar,RB,LAR,IND,3.2,4500,0,13.2,6.6
Robert Woods,WR,LAR,IND,4.4,5700,0,14.2,7.1
Pharoh Cooper,WR,LAR,IND,0.9,4500,0,11,5.5
Rob Gronkowski,TE,NE,KC,12,8000,3,18,7.5
Mike Gillislee,RB,NE,KC,9.6,6400,1.4,18.4,8.5
Brandin Cooks,WR,NE,KC,11.3,7400,2.8,20.4,8.8
Chris Hogan,WR,NE,KC,9.3,6000,1.4,18.5,8.55
James White,RB,NE,KC,8.1,5600,1.7,17.2,7.75
Tom Brady,QB,NE,KC,19.7,8900,10,30.6,10.3
Rex Burkhead,RB,NE,KC,6.5,5100,0.1,15.9,7.9
New England Patriots,DEF,NE,KC,7.3,4500,2.1,12.4,5.15
Stephen Gostkowski,K,NE,KC,8.2,5000,3,13.2,5.1
Dwayne Allen,TE,NE,KC,3.2,5000,0,12,6
Malcolm Mitchell,WR,NE,KC,4.5,5300,0,14.2,7.1
Dion Lewis,RB,NE,KC,2.9,5400,0,13,6.5
Danny Amendola,WR,NE,KC,3.2,5800,0,13.1,6.55
Phillip Dorsett,WR,NE,KC,0.5,5000,0,10.7,5.35
Odell Beckham,WR,NYG,@DAL,14.8,8800,5.6,23.5,8.95
Sterling Shepard,WR,NYG,@DAL,8.5,5800,1,17.8,8.4
Brandon Marshall,WR,NYG,@DAL,9.6,6800,2.2,18.9,8.35
Evan Engram,TE,NYG,@DAL,5.7,4900,0.4,13.7,6.65
Shane Vereen,RB,NYG,@DAL,6.8,5100,0.5,16.1,7.8
Paul Perkins,RB,NYG,@DAL,7.7,6000,1.2,16.9,7.85
Eli Manning,QB,NYG,@DAL,15.9,7300,7.4,27.9,10.25
New York Giants,DEF,NYG,@DAL,6.3,4500,1.8,10.8,4.5
Aldrick Rosas,K,NYG,@DAL,6.7,4500,1.9,12,5.05
Orleans Darkwa,RB,NYG,@DAL,3.8,5100,0,13.7,6.85
Jerell Adams,TE,NYG,@DAL,0.8,4500,0,10.4,5.2
Wayne Gallman,RB,NYG,@DAL,1.4,5200,0,11.7,5.85
Roger Lewis,WR,NYG,@DAL,0.9,4500,0,11,5.5
Bilal Powell,RB,NYJ,@BUF,10.8,6300,3.4,19.5,8.05
Robby Anderson,WR,NYJ,@BUF,8.4,5200,1.2,17.9,8.35
Matt Forte,RB,NYJ,@BUF,8.2,6000,1.5,17.4,7.95
New York Jets,DEF,NYJ,@BUF,5.7,4000,1.7,9.8,4.05
Jordan Leggett,TE,NYJ,@BUF,3.4,4500,0,12.2,6.1
Chandler Catanzaro,K,NYJ,@BUF,6.1,4700,1.2,11.3,5.05
Jeremy Kerley,WR,NYJ,@BUF,4.7,5500,0,14.5,7.25
ArDarius Stewart,WR,NYJ,@BUF,4.2,5100,0,14,7
Jermaine Kearse,WR,NYJ,@BUF,4,5100,0,13.8,6.9
Josh McCown,QB,NYJ,@BUF,11.7,6600,3.7,24.9,10.6
Charone Peake,WR,NYJ,@BUF,3.2,4500,0,13.1,6.55
Will Tye,TE,NYJ,@BUF,1.4,4500,0,10.8,5.4
Chad Hansen,WR,NYJ,@BUF,2.1,4500,0,12.1,6.05
Elijah McGuire,RB,NYJ,@BUF,1.3,4500,0,11.7,5.85
Marshawn Lynch,RB,OAK,@TEN,12,6900,3.1,20.4,8.65
Michael Crabtree,WR,OAK,@TEN,11.9,6900,3.2,20.8,8.8
Amari Cooper,WR,OAK,@TEN,12.2,7600,4.4,21.3,8.45
Jared Cook,TE,OAK,@TEN,6.2,4900,0.5,14.1,6.8
Derek Carr,QB,OAK,@TEN,17.7,7700,8.2,29.2,10.5
Sebastian Janikowski,K,OAK,@TEN,7.7,4800,2.5,12.6,5.05
DeAndre Washington,RB,OAK,@TEN,5.3,5200,0,14.9,7.45
Seth Roberts,WR,OAK,@TEN,5.4,5200,0,15,7.5
Jalen Richard,RB,OAK,@TEN,4.8,5400,0,14.5,7.25
